temperaturemin,temperaturemax,precipitation,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
28.2,48.9,0.03,6.04,110,14.99,120,21.03,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37,57.9,0.04,3.58,50,17,210,25.05,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39.9,43,0.09,6.71,30,12.97,20,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55,64.9,0.06,6.26,60,16.11,70,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,69.1,0,6.93,180,16.11,180,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55,64,0.85,8.5,210,18.12,210,27.96,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
45,64,0,9.17,50,19.91,50,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39.9,66.9,0,9.62,70,21.92,60,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
62.1,84.9,0,3.13,40,12.97,300,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
69.1,88,0.1,2.01,200,14.99,200,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,84.9,0,3.8,80,12.08,80,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,93.9,0,3.13,240,12.08,320,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,87.1,1.98,6.26,180,14.99,210,17,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
72,93,0,7.38,240,14.09,230,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
75,91.9,0,4.92,20,10.07,30,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,93,0,6.49,40,17,40,21.03,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
75,102.9,0,4.92,20,23.94,30,36.91,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
71.1,100,0,3.8,20,17.9,10,27.96,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
73,96.1,0.23,3.36,180,17,80,23.04,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
68,80.1,0.45,4.03,90,21.92,90,25.95,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,93,1.09,7.38,200,19.91,190,23.94,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
70,90,0,4.03,240,12.08,240,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73.9,99,0.14,6.93,20,19.91,300,31.09,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
66.9,91.9,0,2.01,100,8.95,130,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,93,0.05,5.82,180,23.94,170,29.08,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
73.9,93,0.49,6.26,230,21.92,230,25.95,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
72,87.1,0.13,8.95,220,21.92,240,27.96,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
66,91,0,5.59,230,16.11,230,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,77,0.02,4.7,80,12.97,90,17,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,84,0,3.13,50,10.07,60,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,87.1,0,7.61,210,17,220,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
68,89.1,0,4.47,170,12.97,180,16.11,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,88,1.85,3.58,340,17,340,23.04,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
63,80.1,0,1.57,50,8.95,50,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48,77,0,3.13,210,12.08,240,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66.9,88,0.12,7.61,210,12.97,210,17,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
