temperaturemin,temperaturemax,precipitation,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
64.9,82,0.18,7.16,220,12.97,220,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
52,70,0,5.82,290,19.91,310,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48.9,80.1,0,4.92,230,12.97,240,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,86,0,5.59,240,14.09,240,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,87.1,0,6.93,240,14.09,200,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66.9,89.1,0,9.17,230,18.12,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,75.9,5.14,4.92,350,14.09,120,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,84,0.04,3.36,230,14.09,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,84.9,0.66,11.63,240,25.05,240,36.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,90,0,4.92,230,17,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,89.1,0,8.5,230,17,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
69.1,91.9,1.66,9.17,240,19.91,290,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
69.1,82.9,0.72,6.26,180,18.12,170,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,77,0.3,8.5,210,14.99,230,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,88,0,7.16,140,16.11,150,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,88,0,6.71,80,14.09,90,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
62.1,86,0,3.58,110,8.05,160,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,91.9,0,3.13,350,8.95,330,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,75,0,5.59,40,14.09,50,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,82.9,0,8.28,80,17,80,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,91,1.16,7.61,100,23.94,90,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,87.1,0,2.46,270,10.07,280,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,88,0,2.01,50,8.95,30,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57.9,75.9,0,6.71,30,17,50,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
53.1,80.1,0,3.58,90,8.95,80,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,86,0.06,5.82,60,17,40,23.04,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
51.1,73.9,0,2.91,60,10.07,50,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
54,78.1,0,2.01,80,8.05,160,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,77,0.43,7.16,30,21.03,30,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,77,0,4.7,50,14.09,30,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,73,0,4.92,40,17,50,23.04,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
62.1,86,0,3.58,230,12.08,200,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,89.1,0,2.24,240,10.07,210,12.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
59,66,0.02,2.68,340,8.95,340,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,70,0,1.12,30,6.04,170,10.07,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55.9,69.1,0,3.13,30,12.08,20,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
51.1,64,0,2.46,230,8.95,160,10.07,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46,66.9,0,7.16,290,18.12,300,27.96,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
33.1,55.9,0,3.36,30,12.97,340,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46,70,0.03,4.7,230,14.09,320,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
33.1,57.9,0,2.91,300,12.97,300,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.2,60.1,0,1.57,230,8.95,230,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
36,60.1,0,0.67,80,6.04,140,8.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24.3,48.9,0,2.91,230,12.08,210,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,46.9,0.85,4.92,80,14.09,80,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22.1,43,0,7.38,300,21.92,310,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19.2,37.9,0,2.24,120,8.05,120,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26.2,51.1,0.1,4.92,40,17,360,27.96,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
18.1,30.2,0,4.47,30,12.97,20,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
15.3,53.1,0,2.01,220,8.95,220,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24.3,59,0,2.91,140,12.08,150,14.99,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,53.1,0.06,4.7,240,12.08,250,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28.2,45,0,6.26,130,14.99,130,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
34,66.9,0,6.49,230,21.03,220,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.2,44.1,0,4.03,50,10.07,40,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
33.1,36,1.72,10.29,40,21.92,30,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46,72,0,8.5,240,23.04,250,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.2,50,0,4.7,60,12.08,50,14.99,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
29.1,46.9,0,6.93,280,17,290,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
44.1,69.1,0.31,6.71,220,21.92,230,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,78.1,0,4.92,210,12.08,210,14.99,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
52,78.1,0,13.42,230,29.08,220,35.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
59,81,0,11.18,230,18.12,230,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
31.1,64,0,7.83,50,18.12,130,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,71.1,0,6.04,280,16.11,320,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55,73,0.18,7.16,260,16.11,180,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46,68,0,3.8,50,12.97,40,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,79,0,8.05,230,21.03,230,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,82,0,5.14,50,14.99,40,21.03,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57.9,87.1,0,2.91,210,8.95,130,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,90,0,5.82,240,14.99,190,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73.9,96.1,0.02,6.93,240,23.94,220,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,93.9,0,7.16,180,14.99,190,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
60.1,84,0,2.24,350,8.05,40,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,82,0,2.01,50,10.07,60,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57.9,82.9,0,2.91,240,12.08,240,14.99,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,89.1,0,3.36,220,12.08,210,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,91.9,0,2.24,250,14.09,270,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,84,0.01,5.59,80,14.09,90,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,82,0.07,6.26,70,12.08,100,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,93,0,4.92,170,17,180,23.94,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
71.1,90,1.18,3.8,220,23.94,210,29.97,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
70,80.1,0.01,5.59,80,12.97,90,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,75,0,2.68,210,8.05,160,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,79,0,6.04,90,12.97,110,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,75.9,0,2.68,30,12.97,340,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55,64,0.15,7.83,50,17,40,23.04,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
59,75.9,0,5.37,40,14.09,60,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
59,75,0,1.34,90,6.93,100,12.97,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
59,84,0,2.91,60,12.08,120,17,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
57.9,86,0.22,9.4,240,16.11,230,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,62.1,0.02,5.59,40,14.09,30,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,70,0,4.25,290,12.97,270,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39.9,75.9,0,1.57,180,8.95,120,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
45,51.1,0.61,8.5,20,18.12,10,27.96,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46.9,71.1,0,6.04,240,12.97,250,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,60.1,0,4.03,290,16.11,310,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
31.1,60.1,0,2.91,230,12.97,220,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,66,0,2.46,90,12.97,100,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
29.1,44.1,0,5.37,40,14.09,20,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27.1,48.9,0.04,1.79,90,6.93,130,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19.2,43,0,5.82,220,16.11,170,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26.2,45,0,2.46,360,12.08,340,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
44.1,73.9,0,6.04,210,12.97,230,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39.9,54,0,6.26,60,10.07,80,17,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
46,55.9,0.16,3.58,20,16.11,30,31.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
34,45,0.13,8.5,30,17,30,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26.2,57,0,3.58,300,14.99,280,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
29.1,57.9,0,1.34,30,10.07,30,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
36,41,0.4,6.71,50,14.09,50,18.12,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28.2,33.1,0.01,4.92,30,12.08,30,17,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
36,54,0,4.92,20,12.08,100,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,50,0.24,2.91,330,8.95,330,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22.1,48,0,2.46,290,12.08,250,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22.1,45,0,3.36,240,10.07,20,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39,72,0,14.09,230,27.96,230,38.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.2,51.1,0,4.92,30,18.12,40,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
23.2,35.1,0,4.92,30,14.09,10,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22.1,53.1,0,11.18,270,35.12,290,48.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12.2,23.2,0,8.5,270,18.12,270,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
34,57,0.08,2.46,290,12.08,250,16.11,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.2,46.9,0.03,7.38,70,14.99,50,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
32,66,0.97,10.51,40,23.04,40,29.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
41,80.1,0,4.92,230,17,300,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.2,46.9,0,7.61,300,19.91,290,34,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27.1,43,0,2.24,10,8.95,60,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27.1,45,0,4.7,20,12.08,360,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27.1,52,0,4.92,230,16.11,220,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12.2,31.1,0,5.59,280,17,280,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12.2,27.1,0,4.03,320,12.97,310,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
29.1,63,0,2.68,120,8.95,120,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
21.2,33.1,0,8.72,50,18.12,30,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
20.1,46.9,0,1.79,240,8.95,240,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
26.2,48.9,0,3.13,350,12.97,10,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
52,60.1,1.3,5.14,40,12.97,20,19.01,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19.2,46.9,0,5.82,200,14.99,200,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28.2,57.9,0,4.03,140,14.09,190,18.12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
54,75,0,14.32,230,23.04,220,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,77,0,8.95,230,21.03,230,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
52,70,0,4.92,60,12.08,110,18.12,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
31.1,44.1,0,7.61,280,18.12,310,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27.1,50,0.91,3.58,260,14.99,260,21.03,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
33.1,62.1,0.99,8.05,30,21.03,20,31.99,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
39.9,57,0,5.14,120,16.11,130,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
39,62.1,0,5.37,30,14.99,40,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,70,0,5.59,140,14.09,120,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
44.1,66,0,5.82,320,14.99,320,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
36,72,0,4.03,240,14.99,230,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,93,0,6.04,220,14.09,240,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
69.1,77,0.69,7.16,140,16.11,150,19.91,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
66.9,84.9,0.05,5.82,280,17,280,27.96,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
68,87.1,0.33,8.5,230,29.08,240,36.01,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
73,84.9,0.49,5.59,200,21.03,190,27.96,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
71.1,88,0,7.16,230,14.99,210,19.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,84.9,0.23,5.14,60,16.11,330,23.04,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,84.9,0.31,8.72,40,21.92,30,27.07,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
63,70,0.01,6.26,50,14.99,80,19.01,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,91.9,0.12,3.58,250,16.11,240,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,95,0,6.04,220,23.04,220,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,96.1,0.07,7.61,220,16.11,290,25.95,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
66,73.9,0.74,6.93,80,14.99,120,21.92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,90,0,4.92,280,12.97,250,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
70,91.9,0,4.25,60,14.09,60,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71.1,93,0.34,3.8,200,16.11,200,21.92,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
66.9,79,0.65,9.4,40,18.12,30,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
61,81,0.1,2.91,260,14.09,270,21.92,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
51.1,73,0,3.8,240,14.09,230,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,66.9,0.09,2.01,230,8.05,240,10.07,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
60.1,66,0.02,3.8,240,14.09,230,17.9,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
45,73.9,0,2.68,190,8.95,170,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57.9,81,0.27,11.41,240,25.95,230,34.9,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
54,62.1,0.12,4.25,170,16.11,140,23.94,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
54,61,0.01,2.68,90,12.08,80,14.99,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
59,80.1,0.06,8.28,220,19.91,220,23.94,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
42.1,75.9,0,0.89,240,8.95,250,12.97,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
48,57,2.97,15.21,50,27.96,50,36.91,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
48.9,52,0.58,6.26,50,17,60,23.04,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
42.1,62.1,0.18,10.51,230,21.03,10,33.11,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
24.1,48.9,0,0.45,40,8.95,30,12.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
27,48,0,5.82,90,17,90,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.1,36,0,6.26,290,12.97,320,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19.9,37,0,3.36,20,8.95,30,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37,39.9,0.01,6.71,30,12.97,30,16.11,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
25,51.1,0,3.36,270,14.99,290,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
18,48,0,0.67,10,6.93,30,10.07,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30,44.1,0,3.13,110,12.08,190,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
33.1,42.1,1.37,11.41,100,25.95,100,34.9,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
32,39.9,0.35,4.7,90,16.11,90,21.03,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
28,42.1,0.05,4.92,290,14.09,300,21.03,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
25,64.9,0,3.8,220,14.09,230,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28.9,54,0,3.36,310,12.97,330,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37,73.9,0,2.46,250,14.99,250,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
52,66.9,1.52,3.8,100,12.97,120,19.91,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
41,77,0,4.47,290,14.09,280,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,73.9,0,3.58,260,12.97,230,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,75,0,4.25,230,17.9,230,23.94,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
62.1,90,0,11.86,250,23.04,300,36.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57,70,0.36,3.8,90,8.95,130,14.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
64,73,0.04,7.83,90,17,90,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
73,93,0,4.92,210,8.95,220,12.97,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
72,93.9,0,3.58,310,12.08,310,14.99,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
57,87.1,0,3.58,100,10.07,140,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,97,0,6.04,230,12.08,220,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,87.1,0,6.26,60,14.09,50,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28,37.9,0,13.42,280,27.96,290,44.07,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
30,45,0,8.28,290,16.11,290,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
28.9,50,0,10.29,280,21.92,280,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
52,69.1,0.32,4.47,150,10.07,130,14.09,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No
37.9,75,0,2.01,240,8.95,230,12.97,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
59,78.1,0,9.84,230,21.03,280,29.97,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
60.1,91,0,3.58,60,17,50,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68,93.9,0,4.7,320,17,340,29.08,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
73,99,0,8.5,230,21.03,240,23.94,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
80.1,102,0,8.95,240,19.91,230,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,79,0.1,4.92,50,10.07,70,12.97,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
71.1,90,0,5.82,80,12.97,80,17,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
66,90,0,1.57,20,10.07,90,12.97,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
54,87.1,0,3.13,240,14.99,130,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
66,79,0.1,4.47,90,12.08,90,16.11,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
68,98.1,0,7.61,220,17.9,230,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
43,71.1,0,5.82,230,17,310,23.94,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,70,0,3.58,320,12.97,350,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
48.9,82,0,3.36,210,12.97,210,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,87.1,0.29,13.87,230,25.05,230,36.91,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
39.9,61,0,3.58,240,12.97,220,16.11,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
37.9,69.1,0,0.45,230,6.04,250,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
30.9,70,0.29,12.08,230,29.97,240,40.04,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
28,35.1,0.6,4.47,220,14.99,230,21.03,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No
39,63,0.28,4.25,150,17,200,23.94,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
